circuit,factory,layer count,allocator,msf coeff,routing_algo,routing_option,total code beat,circuit volume
result_SELECT_100_Heisenberg1D_OBC_1_0_0,outer,1,random,0,Double,No_Top,8062,195978
result_SELECT_100_Heisenberg1D_OBC_1_0_0,outer,1,random,0,Proj,No_MSF,7128,16664
result_SELECT_100_Heisenberg1D_OBC_1_0_0,outer,1,random,0,Proj,No_Top,7128,35736
result_SELECT_100_Heisenberg1D_OBC_1_0_0,outer,1,random,0,Double,No_Kink,8062,379335
result_SELECT_100_Heisenberg1D_OBC_1_0_0,outer,1,random,0,Double,Yes_Kink,8062,376680
result_SELECT_100_Heisenberg1D_OBC_1_0_0,outer,1,random,0,Single,No_MSF,8662,190438
result_SELECT_100_Heisenberg1D_OBC_1_0_0,outer,1,random,0,Single,No_Top,8664,209514
result_SELECT_100_Heisenberg1D_OBC_1_0_0,outer,1,random,0,Single,No_Kink,8664,381874
result_SELECT_100_Heisenberg1D_OBC_1_0_0,outer,2,SA,0.001,Double,No_Kink,8062,313484
result_SELECT_100_Heisenberg1D_OBC_1_0_0,outer,2,SA,0.001,Double,No_MSF,8061,176904
result_SELECT_100_Heisenberg1D_OBC_1_0_0,outer,2,SA,0.001,Double,No_Top,8062,195978
result_SELECT_100_Heisenberg1D_OBC_1_0_0,outer,2,SA,0.001,Double,Yes_Kink,8358,315506
result_SELECT_100_Heisenberg1D_OBC_1_0_0,outer,2,SA,0.001,Proj,No_MSF,7128,16664
result_SELECT_100_Heisenberg1D_OBC_1_0_0,outer,2,SA,0.001,Proj,No_Top,7128,35736
result_SELECT_100_Heisenberg1D_OBC_1_0_0,outer,1,SA,0.1,Proj,No_Kink,7131,3488175
result_SELECT_100_Heisenberg1D_OBC_1_0_0,outer,2,SA,0.001,Single,No_Kink,8664,311935
result_SELECT_100_Heisenberg1D_OBC_1_0_0,outer,2,SA,0.001,Single,No_MSF,8662,190438
result_SELECT_100_Heisenberg1D_OBC_1_0_0,outer,2,SA,0.001,Single,No_Top,8664,209514
result_SELECT_100_Heisenberg1D_OBC_1_0_0,outer,2,SA,0.001,Single,Yes_Kink,8664,314952
result_SELECT_100_Heisenberg1D_OBC_1_0_0,outer,1,SA,0.1,Proj,Yes_Kink,7131,3358977
