circuit,factory,layer count,allocator,msf coeff,routing_algo,routing_option,total code beat,circuit volume
result_trotter_10_Heisenberg2D_cylinder_0.5_0.5_rand,inner,1,SA,0.001,Single,No_MSF,586,37250
result_trotter_10_Heisenberg2D_cylinder_0.5_0.5_rand,inner,1,SA,0.01,Double,No_MSF,566,35432
result_trotter_10_Heisenberg2D_cylinder_0.5_0.5_rand,inner,1,SA,0.001,Double,Yes_Kink,665,222587
result_trotter_10_Heisenberg2D_cylinder_0.5_0.5_rand,inner,1,SA,0.001,Single,No_Top,586,87410
result_trotter_10_Heisenberg2D_cylinder_0.5_0.5_rand,inner,1,SA,0.01,Double,No_Top,566,85592
result_trotter_10_Heisenberg2D_cylinder_0.5_0.5_rand,inner,1,SA,0.01,Proj,No_MSF,246,4440
result_trotter_10_Heisenberg2D_cylinder_0.5_0.5_rand,inner,1,SA,0.001,Proj,No_Kink,657,278489
result_trotter_10_Heisenberg2D_cylinder_0.5_0.5_rand,inner,1,SA,0.001,Single,No_Kink,613,176143
result_trotter_10_Heisenberg2D_cylinder_0.5_0.5_rand,inner,1,SA,0.01,Double,No_Kink,708,230812
result_trotter_10_Heisenberg2D_cylinder_0.5_0.5_rand,inner,1,SA,0.01,Proj,No_Top,285,54600
result_trotter_10_Heisenberg2D_cylinder_0.5_0.5_rand,inner,1,SA,0.001,Proj,Yes_Kink,673,272384
result_trotter_10_Heisenberg2D_cylinder_0.5_0.5_rand,inner,1,SA,0.01,Single,No_MSF,586,37250
result_trotter_10_Heisenberg2D_cylinder_0.5_0.5_rand,inner,1,SA,0.01,Single,No_Top,586,87410
result_trotter_10_Heisenberg2D_cylinder_0.5_0.5_rand,inner,1,SA,0.1,Double,No_MSF,566,35432
result_trotter_10_Heisenberg2D_cylinder_0.5_0.5_rand,inner,1,SA,0.1,Double,No_Top,566,85592
result_trotter_10_Heisenberg2D_cylinder_0.5_0.5_rand,inner,1,SA,0.01,Single,No_Kink,718,204836
result_trotter_10_Heisenberg2D_cylinder_0.5_0.5_rand,inner,1,SA,0.01,Double,Yes_Kink,774,249713
result_trotter_10_Heisenberg2D_cylinder_0.5_0.5_rand,inner,1,SA,0.1,Proj,No_MSF,246,4440
result_trotter_10_Heisenberg2D_cylinder_0.5_0.5_rand,inner,1,SA,0.1,Double,No_Kink,585,185121
